"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"21",-16.8263861727184,-18.9269527875652,-21,-5.43619436306961,-20.0572626820512,-8.72950898622311,-15.9315504986001,-18.4846301410668,-8.13296745442653,-12.3462569809684,-14.7653039468754,-7.85006197484081,-9.41631316399122,15.4307177432647,-6.74220774643928,5.16517890910367,-15.5403948711342,-0.487268890978639,-1.86337895979972,-14.534017641946,14.7248241874658,6.42952828202319,-7.82248728445223,-8.713782750578,-1.53960850880392,-9.5893660778515,0.923079881842331,7.07929190873949,-13.829927316637,-20.37178844655,-13.1317156851159,0.335110434974463,6.8298002065497,-7.41269576168364,3.14673409803712,-15.9819012467823,-15.4327965396033,-10.0483164631037,-14.0162360153254,5.01599966284199,-16.6058055167608,15.2046167711516,1.63011228728406,-16.1617940154074,-6.06028754726245
"22",-17.6702282987745,-19.9010136863897,-22,-6.28267564660857,-21.0551177651289,-8.74306035268866,-16.6908377309196,-19.5569940625524,-8.52788865357275,-13.5611187452012,-15.7739475792388,-7.75990995491782,-10.1445059630355,16.7549763840193,-7.52952195683948,6.80676046606999,-16.2841021096839,-1.23420834529238,-1.10707630948823,-15.3435441740444,16.0947156457232,5.27204559854638,-8.5654048271293,-9.59240069487254,-2.33381744243825,-10.9193636990991,-0.00148042688954454,7.67858367678485,-14.8212269893212,-21.3525330166459,-14.4630014138141,0.46110181894982,6.87682023302937,-5.47544986887056,3.89264626498873,-17.1716820410371,-16.2259470102856,-11.2938450434883,-15.0619460392975,5.94506323952488,-17.3576810619008,16.3776650833111,2.09417569388152,-17.01268740381,-6.55491679563767
"23",-18.0796998790107,-20.7815684757406,-23,-6.52932865231979,-22.062002363361,-8.25782149502109,-17.3765169926816,-20.5750790518129,-7.58010957715625,-14.6012713264757,-16.560064803053,-8.07568909421091,-10.6945113607277,18.0800834471932,-8.11522181338318,8.32269720692537,-16.9765140896389,0.208385585670791,-0.73081553647048,-14.8971149220885,17.1607422827685,5.99442776485994,-9.16154988523543,-9.5138352375891,-2.27223719702362,-11.7900667466207,0.858147979984766,7.72015770256341,-15.5910265756747,-22.3391740312457,-15.2151120028327,0.658058400448145,5.90666623522007,-5.93993271581866,4.31307290452859,-18.1471577408751,-17.2869128283012,-12.2782437409118,-15.5236782410749,6.11042356856077,-18.2328633899069,17.0330614274051,2.8881580334945,-17.8228171712273,-7.13398548611864
"24",-17.2985248287479,-21.4049859599302,-24,-3.7354156844787,-23.0217656971869,-8.64783420411392,-15.1072808078823,-21.4942169900375,-5.99178622483576,-15.625038078234,-16.8002588898482,-5.57041169851153,-10.076767390519,19.3941243675149,-8.11123015591803,9.7326320629374,-17.650824535284,0.500912514964487,0.221416513652899,-15.6325360405013,18.3411845814819,6.12414333025987,-9.83266364998647,-10.1603079663725,-2.41459325572681,-9.89266770466889,0.951624275649557,9.17171400076579,-16.4022073453564,-23.3376989235958,-14.7402869645256,1.77952640238429,5.36495440055548,-3.58196026672488,4.9910228102962,-19.2326558479831,-18.0224756835462,-11.4766116609966,-16.3386381341289,6.77414256950797,-16.9127740871648,18.4060613821452,3.94423152171001,-15.8724333269985,-5.34345656898972
"25",-17.8384285952098,-22.3193953807235,-25,-1.81173315139981,-23.9867199442387,-9.64878736411586,-15.5045187469385,-22.5753579820088,-5.7699985210959,-16.3682819369121,-16.1201303975429,-6.70245364250797,-10.7064109278047,20.5373819865928,-8.91346193057592,10.6465013585554,-18.5133846656014,1.15125592785206,-0.952690860225253,-16.4677441776768,19.7320587364342,5.5746000983509,-10.8489853442894,-11.5761632724352,-3.31324056457586,-10.6826910237986,0.981791182518105,8.76622378719258,-17.7326873400333,-24.3336089921572,-15.4672287044145,2.07482945452932,2.7035630744886,-1.99874429376977,2.67152044803223,-20.0762203390603,-18.8578466768311,-11.874355992158,-17.2103284640741,6.1417039602206,-17.9741342350153,19.9079202614667,4.3609801981731,-14.9384629229508,-5.68944807426466
"26",-18.6257742206971,-22.8783561831964,-26,-0.203145766212427,-24.9894370846731,-10.3210131356722,-15.9622863087367,-23.4659726137574,-5.29377621314494,-14.4495419580206,-14.6711624899684,-6.82238313201788,-10.949457086017,21.6233353151745,-8.78196727210666,11.726880326762,-18.8913034341636,1.28630563370132,-0.992638748031165,-17.4232725226885,21.0681718430565,6.2352386442486,-11.6404504507852,-12.2846759137793,-4.18754901167349,-11.8029404133427,1.66862915475277,9.16887082899474,-14.4512935660949,-25.3374751063053,-16.2296024545948,1.14697027731218,0.168786132468823,-1.26025956795658,1.74611422225965,-21.1206296996578,-18.3556413183902,-12.3631524341689,-18.0608419002733,4.95716711795944,-19.1950516518634,20.7245138979045,6.50453308674363,-15.6868761713116,-6.55064030830729
"27",-19.3130151832855,-23.8782570053359,-27,-0.0424522301180052,-25.9615456461134,-11.2630774072182,-15.2982078482564,-24.4475126939964,-6.04599573884454,-15.2502339411881,-15.8994841881096,-6.78673843168969,-11.5749622288532,22.8379726121497,-9.27707496079659,13.1536742343779,-19.8435510711706,2.89201877371468,-1.02081031326367,-18.2214462748418,22.0395630463903,8.38303449959694,-12.727394282925,-11.2350767699343,-5.02569413162928,-12.2893564788827,3.64514733481814,9.32391096975169,-16.1920265004878,-26.3239952001283,-16.9793107386064,-1.62418844938092,-1.17386602300376,-0.887788351493017,-0.504805306075399,-22.3410215085268,-19.0040101397777,-13.076567330969,-19.2849974420211,5.95690133622634,-20.4604188972083,21.7545901942498,5.87491251486035,-16.3871457199761,-3.92842489666067
"28",-19.6479526759799,-24.8825709358847,-28,2.21162471365919,-26.9516828449769,-12.3316718473128,-14.9675231359565,-25.5240540096498,-6.34083811601635,-15.0027330673526,-16.7240004890566,-5.99853993356021,-12.6462379539972,23.9070937092748,-9.65460830830342,13.9523399412416,-17.9809413606737,-1.95429104232447,-0.229222276426803,-17.961452924976,20.566675262147,7.57168150688616,-14.4187721232832,-12.1251986431366,-6.04277735897567,-12.8824517248026,2.2261079410823,11.5962694094386,-17.1165376954034,-27.3253510984111,-18.2649221442088,-2.84127611855265,-1.39987614635116,1.52556684610732,-4.252111019617,-23.2858703412159,-20.065576739608,-12.0970450341617,-20.7097996339988,6.02482781555322,-21.3670218019212,23.0712439348148,9.0543026245475,-17.3091309566211,-2.76923883106237
"29",-20.6411113832131,-25.9969030003545,-29,3.38339023612044,-27.9714037606524,-13.8717492804021,-14.7199072373751,-26.6248134472001,-7.26701723830907,-16.0160986013387,-17.8554921661603,-7.02568170160288,-14.9835147601431,24.9487720246971,-9.05018962351112,15.0164098081584,-19.0692829372234,-3.03768488254148,1.09204861029878,-18.8279816256454,21.3700519565809,6.6650774289042,-15.3012182078694,-12.5182907898252,-6.27546724124808,-13.6282014641957,2.46245543410375,8.71359482330749,-18.5359960105042,-28.319730181276,-19.2673052496808,-3.53382513311488,-2.53786140867612,2.46927905468781,-6.92074253848241,-24.4517743485258,-20.9242589159914,-14.0287917056364,-22.0984743518522,3.93177769825274,-22.4971700373884,23.9853938888356,10.803126426584,-18.3397632006695,-3.31079917626893
"30",-20.4561837579588,-27.0062851184619,-30,4.50134964696234,-28.939749253021,-14.4640834389176,-14.0051340362389,-27.5607675728725,-7.87153340803828,-16.7113283859951,-18.3671261723978,-7.38489382934186,-15.5097326510981,26.0195359636107,-8.82235110927836,16.0818567497384,-20.2716914954685,-4.21956010372435,1.42024002178446,-19.5800176044144,22.2998563265247,7.09704511591716,-16.0986411273919,-12.4814319651134,-6.62487474456194,-14.6169333773501,3.43981219862195,9.28407287927032,-19.5476665141996,-29.3180683626747,-20.2714812080036,-4.24764443966694,-4.5081792041286,3.22725436113906,-9.09188836147262,-25.7401691845189,-21.9069801390581,-14.6257029242766,-22.9009966883587,4.18429208538135,-23.5536130667383,24.9614040024741,12.5992303470465,-19.5960462993779,-2.57641233540636
"31",-21.6625089036634,-28.1151864520683,-31,4.91077473736321,-29.9177401621549,-15.5685181103673,-12.9700763376994,-28.5900893736191,-8.35168589874245,-17.4449703960331,-19.588569592691,-8.39846439296913,-16.5136786474535,27.0348910048897,-9.72016280085406,16.9892211082526,-21.3089726424084,-5.08948597101982,0.915334405614017,-20.8495859499466,22.346975756293,7.14104124576586,-17.4259253098659,-13.6323090940749,-8.13703642911446,-15.9983616103636,2.73997894857298,9.01201837234317,-20.708589351462,-30.3318056042119,-21.9505922197838,-5.36603226248932,-5.77303168531884,3.211199091659,-11.146810370979,-26.9340711605474,-23.2108683348079,-13.3821556031056,-24.2703826974999,3.68212701438686,-24.5216634810832,26.072259482466,13.324196601594,-20.4998556489915,-3.92185192989045
"32",-20.6696350908479,-29.0314590777824,-32,5.63324549052572,-30.9161358829163,-16.233934386518,-13.818029622441,-29.6437733802642,-7.96641287908426,-18.5077335529615,-20.3631262825305,-8.95114548796466,-17.3235334771941,28.0638729146848,-11.1289440624163,17.6929944550261,-22.470621508005,-6.33791236653178,0.553289140111019,-21.6632901152718,22.4755086595996,6.76170484198491,-18.7467042656162,-14.3460996770518,-9.2130513266249,-17.0979783382816,1.85132217252231,9.49182808746842,-21.9058373039166,-31.3257743289058,-23.0814726133838,-6.8253889254171,-6.54993751283601,3.76597019751933,-13.1404123022283,-28.0320560421243,-23.9547545278005,-12.9920005245213,-25.4751162741067,4.02986677779789,-25.7011961970992,27.0672262099004,14.4927460788781,-21.4225368206019,-5.06346048238273
"33",-21.6199700070176,-30.1216641354178,-33,6.72649916665835,-31.9574920610677,-17.3667813491017,-12.6621936689725,-30.6666640429982,-9.37184901173181,-18.5456044111368,-21.5009072990248,-9.9660590965194,-17.9448850692444,29.1577284907949,-11.6736271960579,18.1660043574588,-22.8890117699408,-7.28231084792206,1.55020221086376,-22.7792147040736,23.1525357244871,6.77295851428642,-19.9826336784697,-14.9952711991981,-10.4666699843137,-17.9018117332364,2.78736144421376,9.64793566121144,-22.9618070105877,-32.3202248192693,-23.6076164452116,-7.80373302672132,-6.59813272569285,5.40592313399289,-14.7866101758389,-28.9471071234772,-24.6735769855922,-13.8866573662701,-26.5455289780617,3.96898365813973,-26.8272235202069,28.3441627306169,15.4484174308695,-20.8280127121583,-4.54511632067989
"34",-22.4254933801485,-31.140972932815,-34,7.45645021798525,-32.9788164081888,-18.3322824114484,-12.7220946599908,-31.7236561180125,-10.4722360342824,-19.1358584819144,-22.5108903254672,-10.4708106811662,-18.4903563049887,30.2021851580986,-12.0878336405665,18.3872225181281,-23.5983574104099,-8.50980959956362,1.28152055238743,-23.8565841223516,23.8206836218244,6.09173981489947,-21.504404394385,-15.9835028316787,-11.9942998024983,-19.3416049176965,3.05775013300035,10.0574901542135,-24.2506648858467,-33.3067753813151,-25.0029105601224,-8.22086290678872,-7.69419595734753,6.00465483590046,-16.6185496366664,-30.0633811427837,-25.6852449935996,-12.2986709470155,-27.4427051436685,3.16083607278001,-28.0941857204988,29.3227970269424,16.894365625191,-21.8229665571788,-5.64115835233286
"35",-23.3972047713053,-32.1356673497157,-35,9.64266276382701,-33.9626731946124,-19.2766580488946,-11.2123209797375,-32.6872917828579,-11.0081593285768,-19.6762584666563,-22.9167996114621,-11.9166494072948,-19.5346634600333,31.259246853255,-10.968823835141,18.6152274294727,-24.6489113264688,-8.49556045641436,1.72749580917565,-24.7248110906537,24.9971600183637,5.58084985606964,-22.216705640527,-16.4885076934839,-12.6502748731734,-20.3279904753013,3.01956698827344,10.3218013932672,-25.3409236349394,-34.2981542156494,-26.2229435936928,-9.87258939862242,-9.24649309678025,7.30308714109974,-17.9000711766617,-31.1929591280299,-26.4698602707095,-11.9178097469844,-28.5379925838975,3.47356613995276,-29.1215799351724,30.3845849111323,18.2614383671051,-22.8808654858762,-4.85800774277681
"36",-24.1745136083884,-33.1447089644369,-36,11.3163959535606,-34.9704813867959,-19.6914725686567,-10.5415824710942,-33.6651607383631,-10.52706639148,-20.3497466940557,-22.0174670594023,-11.5467362128538,-20.5177979738367,32.2747516725788,-10.5699080927207,20.04783981641,-24.5498136618164,-9.686221576591,3.29508300345568,-25.5852217137408,26.0673059068336,5.57659481694799,-23.1781254184355,-17.4701943782223,-12.5884129600849,-21.2573348831447,1.72691310825255,10.7618363646906,-26.4090458806753,-35.2971896426753,-27.398815415795,-11.0864760972357,-11.6950834248016,9.01433090597114,-19.2647984969567,-32.3617600215015,-27.524783407577,-11.852636163554,-29.5564159353276,3.93390065852612,-30.0633101166145,31.4409325544418,19.2430399097545,-23.9563200777117,-5.32710208908008
